id,Background,Earring,Fur,Eyes,Mouth,Clothes,Hat
332,Yellow,,Cream,3d,Discomfort,Tuxedo Tee,
333,Yellow,Gold Stud,Cheetah,Closed,Tongue Out,,Baby's Bonnet
334,Yellow,Cross,Death Bot,Angry,Bored Unshaven,Vietnam Jacket,Bayc Hat Red
335,Orange,,Dark Brown,Bloodshot,Bored,Black Holes T,Bunny Ears
336,Aquamarine,Silver Hoop,Dmt,Coins,Grin,Biker Vest,
337,New Punk Blue,Cross,Brown,Scumbag,Jovial,Navy Striped Tee,Bowler
338,New Punk Blue,Silver Hoop,Golden Brown,3d,Phoneme Vuh,Black T,Fez
339,Army Green,,Dark Brown,Bored,Phoneme  ooo,,Bayc Hat Black
340,Blue,Diamond Stud,Brown,Sleepy,Bored Unshaven,Wool Turtleneck,Fez
341,Army Green,,Blue,Crazy,Phoneme L,Puffy Vest,Commie Hat
342,Orange,,Black,Bloodshot,Bored Pipe,Work Vest,Bayc Flipped Brim
343,Yellow,Diamond Stud,Dark Brown,Coins,Bored,,Party Hat 2
344,New Punk Blue,,Brown,Eyepatch,Bored,Tuxedo Tee,Irish Boho
